,canonical_consensus,B_whamming_upgma,B_whamming_nj,B_hamming_upgma,B_hamming_nj,A_jaccard_upgma,A_jaccard_nj,C_chamming_upgma,C_chamming_nj,bayesian_map,preview_common_convention,preview_common_lemma
canonical_consensus,0.0000,0.0000,0.1062,0.2240,0.1233,0.4077,0.2073,0.2987,0.1375,0.3504,0.3726,0.6580
B_whamming_upgma,0.0000,0.0000,0.1062,0.2240,0.1233,0.4077,0.2073,0.2987,0.1375,0.3504,0.3726,0.6580
B_whamming_nj,0.1062,0.1062,0.0000,0.2357,0.0714,0.4427,0.1564,0.3100,0.0465,0.3243,0.3060,0.6537
B_hamming_upgma,0.2240,0.2240,0.2357,0.0000,0.2444,0.3371,0.2255,0.2403,0.2572,0.4123,0.3118,0.6432
B_hamming_nj,0.1233,0.1233,0.0714,0.2444,0.0000,0.4598,0.1611,0.3152,0.0488,0.3352,0.2823,0.6428
A_jaccard_upgma,0.4077,0.4077,0.4427,0.3371,0.4598,0.0000,0.4493,0.3338,0.4620,0.4539,0.5494,0.5904
A_jaccard_nj,0.2073,0.2073,0.1564,0.2255,0.1611,0.4493,0.0000,0.3368,0.1732,0.3349,0.2936,0.6268
C_chamming_upgma,0.2987,0.2987,0.3100,0.2403,0.3152,0.3338,0.3368,0.0000,0.3245,0.3815,0.4501,0.6319
C_chamming_nj,0.1375,0.1375,0.0465,0.2572,0.0488,0.4620,0.1732,0.3245,0.0000,0.3395,0.2998,0.6506
bayesian_map,0.3504,0.3504,0.3243,0.4123,0.3352,0.4539,0.3349,0.3815,0.3395,0.0000,0.4690,0.6251
preview_common_convention,0.3726,0.3726,0.3060,0.3118,0.2823,0.5494,0.2936,0.4501,0.2998,0.4690,0.0000,0.6269
preview_common_lemma,0.6580,0.6580,0.6537,0.6432,0.6428,0.5904,0.6268,0.6319,0.6506,0.6251,0.6269,0.0000
