canonical_text	total_cites	n_dicts	variant_forms
Mahābhārata	56818	8	MAHĀBHĀRATA; Mahābhārata
Ṛgveda	38187	7	ṚGVEDA; Ṛg-veda; Ṛgveda
Rāmāyaṇa	38155	9	RĀMĀYAṆA; Rāmāyaṇa; RĀMĀYANA
Manusmṛti	26365	7	Manusmṛti
Aṣṭādhyāyī (Pāṇini)	21791	3	Aṣṭādhyāyī (Pāṇini)
Bhāgavata-Purāṇa	21330	5	BHĀGAVATAPURĀṆA; Bhāgavata-Purāṇa; Bhāgavata Purāṇa
Śabdakalpadruma	20232	7	ŚABDAKALPADRUMA; Śabdakalpadruma
Raghuvaṃśa	19922	7	Raghuvaṃśa; RAGHUVAṂŚA; RAGHUVAM5ŚA
Abhidhānacintāmaṇi	18073	3	Abhidhānacintāmaṇi
Indische Sprüche	18030	4	Indische Sprüche
Kathāsaritsāgara	17015	9	KATHĀSARITSĀGARA; Kathāsaritsāgara
Amarakoṣa	14918	8	AMARAKOṢA; Amarakoṣa; AMARAKOŚA; Amarakośa
Pañcatantra	14743	6	Pañcatantra; PAÑCATANTRA
Harivaṃśa	13685	7	HARIVAṂŚA; HARIVAM5ŚA; Harivaṃśa
Medinīkośa	13246	6	MEDINĪKOṢA; MEDINIKOŚA; Medinīkośa
AUFRECHT	12718	4	AUFRECHT
Śakuntalā	11900	8	Śakuntalā; ŚĀKUNTALA; Śākuntala
Anekārthasaṃgraha	11674	3	Anekārthasaṃgraha; ANEKĀRTHASAM̃GRAHA
Suśruta	11571	7	SUŚRUTA; Suśruta
Śatapatha-Brāhmaṇa	11010	7	Śatapatha-Brāhmaṇa
Atharvaveda	10820	8	Atharvaveda; ATHARVAVEDA; Atharva-veda
Śiśupālavadha	9677	8	Śiśupālavadha; ŚIŚUPĀLAVADHA
Kumārasambhava	8846	8	Kumārasambhava; KUMĀRASAM̃BHAVA; Kumārasaṃbhava; KUMĀRASAM5BHAVA
Rājataraṅgiṇī	8640	5	RĀJATARAṄGIṆĪ; Rājataraṅgiṇī; Rājatarangiṇi
Trikāṇḍaśeṣa	8435	6	TRIKĀṆḌAŚEṢA; Trikāṇḍaśeṣa
Bṛhatsaṃhitā	8255	6	Bṛhatsaṃhitā
Mahāvastu	7174	1	Mahāvastu
Rājanighaṇṭu	6767	3	Rājanighaṇṭu
Hitopadeśa	6456	8	Hitopadeśa; HITOPADEŚA
Indische Studien (Weber)	6164	3	Indische Studien (Weber)
Bhaṭṭikāvya	5827	8	Bhaṭṭikāvya; BHAṬṬIKĀVYA
Bhagavadgītā	5649	9	Bhagavadgītā; BHAGAVADGĪTĀ; BHAGAVADGITĀ; Bhagavad Gītā
Mārkandeyapuraṇa	5648	9	MĀRKĀṆḌEYAPURĀṆA; MĀRKAṆḌEYAPURĀṆA; Mārkaṇḍeya-Purāṇa; Mārkaṇḍeya Purāṇa
Meghadūta	5604	8	Meghadūta; MEGHADŪTA
Taittirīya Saṃhitā	5252	5	TAITTIRĪYASAM̃HITĀ; Taittirīya Saṃhitā; Taittirīya-Saṃhitā
Kātyāyana-Śrautasūtra	5226	4	Kātyāyana-Śrautasūtra; Kātyāyana Śrauta Sūtra
Vājasaneyi Saṃhitā	5222	7	VĀJASANEYISAM̃HITĀ; Vājasaneyi Saṃhitā; Vājasaneyi-Saṃhitā
Kirātārjunīya	5136	7	Kirātārjunīya; KIRĀTĀRJUNĪYA
Halāyudha	5121	6	HALĀYUDHA; Halāyudha
Mugdhabodha (Vopadeva)	5048	3	Mugdhabodha (Vopadeva)
Sāhityadarpaṇa	4699	8	SĀHITYADARPAṆA; Sāhityadarpaṇa; SĀHITYADARPAṆA2; Sāhitya Darpaṇa
Divyāvadāna	4586	4	Divyāvadāna; DIVYĀVADĀNA
Lalitavistara	4564	3	Lalitavistara; LALITAVISTARA
Daśakumāracarita	4493	7	Daśakumāracarita; DAŚAKUMĀRACARITA
Uttararāmacarita	4246	6	Uttararāmacarita; Uttara Rāmacarita
Mahāvyutpatti	4110	1	Mahāvyutpatti
Raghuvanśa	4101	1	Raghuvanśa
Aitareya Brāhmaṇa	3862	4	AITAREYABRĀHMAṆA; Aitareya Brāhmaṇa
Kādambarī	3785	5	Kādambarī; KĀDAMBARI; KĀDAMBARĪ
Viṣṇu Purāṇa	3726	5	VIṢṆUPURĀṆA; Viṣṇu Purāṇa
Yājñavalkyasmṛti	3677	3	Yājñavalkyasmṛti
WEBER'S Verzeichniss der Berliner Sanskrit-Handschriften	3669	3	WEBER'S Verzeichniss der Berliner Sanskrit-Hand- schriften; WEBER'S Verzeichniss der Berliner Sanskrit-Handschriften
Bombay	3640	3	Bombay
Mālatīmādhava	3354	5	Mālatīmādhava; MĀLATĪMĀDHAVA
Taittirīya Brāhmaṇa	3264	5	TAITTIRĪYABRĀHMAṆA; TAITTIRIYA BRĀHMAṆA; Taittirīya Brāhmaṇa
Gaṇḍavyūha	3174	1	Gaṇḍavyūha
Mṛcchakaṭikā	3157	6	MṚCCHAKAṬIKĀ; Mṛcchakaṭikā
ŚABDARATNĀVALĪ	3130	3	ŚABDARATNĀVALĪ
Nirukta (Yāska)	3044	3	Nirukta (Yāska)
my Sanskrit Chrestomathy	3017	1	my Sanskrit Chrestomathy
Bhāgavata	2968	3	Bhāgavata
Vikramorvaśī	2772	4	VIKRAMORVAŚĪ; Vikramorvaśī
Prabodhacandrodaya	2717	6	PRABODHACANDRODAYA; Prabodhacandrodaya
Kauśikasūtra	2671	6	Kauśika-Sūtra; Kauśikasūtra; Kauśika Sūtra
Mālavikāgnimitra	2612	7	Mālavikāgnimitra; MĀLAVIKĀGNIMITRA
Gītagovinda	2512	7	Gītagovinda; GĪTAGOVINDA
Āpastamba-Dharmasūtra	2459	1	Āpastamba-Dharmasūtra
DHĀTUPĀṬHA in WESTERGAARD'S Radices	2380	3	DHĀTUPĀṬHA in WESTERGAARD'S Radices
Bhāvaprakāśa	2308	6	BHĀVAPRAK4ĀŚA; BHĀVAPRAKĀŚA; Bhāvaprakāśa
Yājñavalkya	2300	4	Yājñavalkya
Saddharmapuṇḍarīka	2279	2	Saddharmapuṇḍarīka; SADDHARMAPUṆḌARIKA
Siddhāntakaumudi	2277	5	SIDDHĀNTAKAUMUDĪ; Siddhānta-Kaumudī; Siddhāntakaumudi
Śāṅkhāyana-Śrautasūtra	2175	3	Śāṅkhāyana-Śrautasūtra
PAÑCARATNA	2140	3	PAÑCARATNA
Chāndogyopaniṣad	2074	5	CHĀNDOGYOPANIṢAD; Chāndogyopaniṣad
Bhartṛhari	2036	2	BHARTṚHARI; Bhartṛhari
Wilson (dictionary)	2023	1	Wilson (dictionary)
Sāyaṇa	2005	6	SĀYAṆA; Sāyaṇa
NALOPĀKHYĀNA in BÖHTLINGK'S Chrestomathie	1984	1	NALOPĀKHYĀNA in BÖHTLINGK'S Chrestomathie
Pāṇini's Aṣṭādhyāyī	1926	3	Pāṇini's Aṣṭādhyāyī; Pāṇiniʼs Aṣṭādhyāyī
Bhartṛhari's three Śatakas	1876	2	Bhartṛhari's three Śatakas
Naiṣadhacarita	1876	6	Naiṣadhacarita; NAIṢADHACARITA
HĀRĀVALI	1872	4	HĀRĀVALĪ; HĀRĀVALI
Buddhist	1866	1	Buddhist
COLEBROOKE'S Miscellaneous Essays	1858	3	COLEBROOKE'S Miscellaneous Essays
HEĀDRI'S K4ATURVARGAK4INTĀMAṆI	1845	1	HEĀDRI'S K4ATURVARGAK4INTĀMAṆI
A contribution towards an index to the Bibliography of the Indian philosophical systems	1844	2	A contribution towards an index to the Bibliography of the Indian philosophical systems
Lāṭyāyana-Śrautasūtra	1818	4	Lāṭyāyana-Śrautasūtra; Lāṭyāyana Śrauta Sūtra
Āśvalāyana-Śrautasūtra	1782	3	Āśvalāyana-Śrautasūtra
Manusmṛiti	1762	1	Manusmṛiti
Bṛhadāraṇyakopaniṣad	1758	5	BṚHADĀRAṆYAKOPANIṢAD; Bṛhadāraṇyakopaniṣad
GALANO's Wörterbuch	1736	1	GALANO's Wörterbuch
Āpastamba	1712	4	ĀPASTAMBA; Āpastamba
Kullūka	1707	8	KULLŪKA; Kullūka
Pañcaviṃśa Brāhmaṇa	1691	2	PAÑCAVIṂŚABRĀHMAṆA; Pañcaviṃśa Brāhmaṇa
VYUTPATTI oder MAHĀVYUTPATTI	1649	3	VYUTPATTI oder MAHĀVYUTPATTI
Vikramorvaśīyam	1635	2	Vikramorvaśīyam
Brāhmaṇa	1621	1	Brāhmaṇa
Śikṣāsamuccaya	1584	1	Śikṣāsamuccaya
Mudrārākṣasa	1502	6	Mudrārākṣasa; MUDRĀRĀKṢASA
Āśvalāyana-Gṛhyasūtra	1456	3	Āśvalāyana-Gṛhyasūtra
Maitrāyaṇī Saṃhitā	1445	2	MAITRĀYAṆI SAM5HITĀ; Maitrāyaṇī Saṃhitā
Bhāminīvilāsa	1437	6	Bhāminīvilāsa; BHĀMINĪVILĀSA; BHĀMINIVILĀSA
ŚABDACANDRIKĀ	1430	1	ŚABDACANDRIKĀ
RATNAMĀLĀ	1428	3	RATNAMĀLĀ
das	1380	1	das
Mūla-Sarvāstivāda-Vinaya; Gilgit Manuscripts	1378	1	Mūla-Sarvāstivāda-Vinaya; Gilgit Manuscripts
KĀṬHAKA-Recension des YĀJ	1370	3	KĀṬHAKA-Recension des YĀJ
Śeṣa's zu HEMACANDRA'S ABHIDHĀNACINTĀMAṆI	1306	2	Śeṣa's zu HEMACANDRA'S ABHIDHĀNACINTĀMAṆI
A rational refutation of the Hindu philosophical systems by Nehemiah Nīlakaṇṭha	1305	3	A rational refutation of the Hindu philosophical systems by Nehemiah Nīlakaṇṭha
Uṇādisūtras	1290	2	Uṇādisūtras
Amaruśataka	1287	5	Amaruśataka; AMARUŚATAKA
Bālarāmāyaṇa	1274	4	BĀLARĀMĀYAṆA; Bālarāmāyaṇa; Bālarāmayaṇa
VETĀLAPAÑCAVIṂŚATI in LASSEN'S Anthologie	1269	3	VETĀLAPAÑCAVIṂŚATI in LASSEN'S Anthologie
Kāraṇḍavyūha	1255	2	KĀRAṆḌAVYŪHA; Kāraṇḍavyūha
Ṛtusaṃhāra	1254	4	ṚTUSAM̃HĀRA; Ṛtusaṃhāra; RṬUSAM5HĀRA
Bodhisattvabhūmi	1217	1	Bodhisattvabhūmi
ŚAṂKARA	1186	3	ŚAṂKARA
Kāvyaprakāśa	1143	6	Kāvyaprakāśa; KĀVYAPRAKĀŚA; Kāvya Prakaśa
Patañjali	1136	4	PATAÑJALI; Patañjali
PRĀTIŚĀKHYA zun ṚGVEDA	1136	3	PRĀTIŚĀKHYA zun ṚGVEDA
Gautama-Dharmasūtra	1120	1	Gautama-Dharmasūtra
Geschichte des VIDŪṢAKA in BÖHTLINGK'S Chrestomathie	1109	1	Geschichte des VIDŪṢAKA in BÖHTLINGK'S Chrestomathie
Avadāna-śataka	1108	2	Avadāna-śataka; AVADĀNAŚATAKA
Mahāvīracarita	1057	5	Mahāvīracarita; MAHĀVĪRACARITA
Zeitschrift der deutschen morgenlandischen Gesellschaft	1051	3	Zeitschrift der Deutschen morgenländischen Gesell- schaft; Zeitschrift der deutschen morgenlandischen Gesellschaft
JAṬĀDHARA	1030	1	JAṬĀDHARA
Classified Index to the Sanskrit Mss	984	1	Classified Index to the Sanskrit Mss
BENFEY' Chrestomathie aus Sanskritwerken	933	3	BENFEY' Chrestomathie aus Sanskritwerken
NIGHAṆṬA PRAKĀŚA von BĀPŪ GAṄGĀDHARA	931	3	NIGHAṆṬA PRAKĀŚA von BĀPŪ GAṄGĀDHARA
VISHṆUPURĀṆA	929	1	VISHṆUPURĀṆA
GOBHILA'S GṚHYASŪTRA	904	3	GOBHILA'S GṚHYASŪTRA
Hemacandra	894	6	HEMACANDRA; Hemacandra
LASSEN'S Indische Alterthumskunde	890	1	LASSEN'S Indische Alterthumskunde
Veṇīsaṃhāra	889	5	Veṇīsaṃhāra; VEṆĪSAM̃HĀRA
Sūryasiddhānta	852	5	SŪRYASIDDHĀNTA; Sūryasiddhānta
PĀRASKARA'S GṚHYASŪTRĀṆI	848	3	PĀRASKARA'S GṚHYASŪTRĀṆI
Rigveda	837	4	Rigveda; Rig-veda; Rig Veda; Ṛigveda
Bhārata	811	3	BHARATA; Bhārata
ŚĀṄKHĀYANA'S GṚHYASŪTRĀṆI	809	3	ŚĀṄKHĀYANA'S GṚHYASŪTRĀṆI
ŚĀṄKHĀYANA'S BRĀHMAṆA	793	3	ŚĀṄKHĀYANA'S BRĀHMAṆA
KAPILA	791	2	KAPILA
ŚABDAMĀLĀ	783	1	ŚABDAMĀLĀ
BURNOUF	770	3	BURNOUF
DHŪRTASAMĀGAMA in LASSEN'S Anthologie	768	2	DHŪRTASAMĀGAMA in LASSEN'S Anthologie
Uṇādi-Affixe	764	1	Uṇādi-Affixe
Lassen	761	1	Lassen
Bhāṣāpariccheda	759	6	Bhāṣāpariccheda; BHĀṢĀPARICCHEDA
SAM5GITASĀRASAM5GRAHA	757	1	SAM5GITASĀRASAM5GRAHA
PRĀTIŚĀKHYA zur VĀJASANEYISAM̃HITĀ	750	3	PRĀTIŚĀKHYA zur VĀJASANEYISAM̃HITĀ
Mahā-Māyūrī	741	1	Mahā-Māyūrī
SĀṂKHYAKĀRIKĀ	737	3	SĀṂKHYAKĀRIKĀ
Journal of the American Oriental Society	725	2	Journal of the American Oriental Society
Calcutta edition of various works [Cologne addition]	713	2	Calcutta edition of various works [Cologne addition]
Mallinātha	710	6	MALLINĀTHA; Mallinātha
Inscriptions	687	1	Inscriptions
TAITTIRIYARAṆYAKA	658	4	TAITTIRĪYĀRAṆYAKA; TAITTIRIYARAṆYAKA
Varāhamihira's Bṛhajjātaka	650	4	VARĀHAMIHIRA'S BṚHAJJĀTAKA; Varāhamihira's Bṛhajjātaka
Laṅkāvatāra-sūtra	638	1	Laṅkāvatāra-sūtra
TAITTIRYASAM5HITĀ	619	1	TAITTIRYASAM5HITĀ
Arjunasamāgama	613	2	ARJUNASAMĀGAMA; Arjunasamāgama
Tārānātha's Vācaspatyam	612	2	Tārānātha's Vācaspatyam
Daśarūpa	609	8	Daśa-Rūpa; DAŚARŪPA; Daśarūpa
Pāṇini	608	3	PĀṆINI; Pāṇini
TĀṆḌYABRĀHMANA	594	4	TĀṆḌYABRĀHMANA; TĀṆḌYABRĀHMAṆA
Śvetāśvataropaniṣad	591	6	ŚVETĀŚVATAROPANIṢAD; Śvetāśvataropaniṣad
LALITAVISTARAPURĀṆA	590	1	LALITAVISTARAPURĀṆA
Kaṭhopaniṣad	588	5	KAṬHOPANIṢAD; Kaṭhopaniṣad
NIGHAṆṬUPRAKĀŚA	577	1	NIGHAṆṬUPRAKĀŚA
ŚUKASAPTATI in LASSEN'S Anthologie	561	2	ŚUKASAPTATI in LASSEN'S Anthologie
DAŚAKUMĀRA	556	1	DAŚAKUMĀRA
В	554	1	В
SAM̃HITĀ des ŚĀRṄGADHARA	551	3	SAM̃HITĀ des ŚĀRṄGADHARA
Vāsavadattā	546	4	VĀSAVADATTĀ; Vāsavadattā; Vāsavadatta
PRĀTIŚĀKHYA zum ATHARVAVEDA	545	3	PRĀTIŚĀKHYA zum ATHARVAVEDA
Draupadīpramātha	544	2	DRAUPADĪPRAMĀTHA; Draupadīpramātha
Daśabhūmikasūtra	542	1	Daśabhūmikasūtra
Boehtlingk and Roth	525	1	Boehtlingk and Roth
Śatruṃjayamāhātmya	523	4	ŚATRUM̃JAYAMĀHĀTMYA; Śatruṃjayamāhātmya
Caurapañcāśikā	522	5	CAURAPAÑCĀŚIKĀ; Caurapañcāśikā
KĀŚIKĀVṚTTI; s	509	3	KĀŚIKĀVṚTTI; s
Vedāntasāra	507	2	Vedāntasāra; VEDĀNTASĀRA
Kāśikāvṛtti	503	3	KĀŚIKĀ VṚTTI; Kāśikāvṛtti
Sāmaveda	484	5	SĀMAVEDA; Sāma-Veda; Sāmaveda
Nala	479	1	Nala
VAITĀNASŪTR	479	1	VAITĀNASŪTR
BRAHMAPURĀṆA in LASSEN'S Anthologie	478	3	BRAHMAPURĀṆA in LASSEN'S Anthologie
Rāṣṭrapālaparipṛcchā	477	2	Rāṣṭrapālaparipṛcchā; RĀṢTRAPĀLAPARIPṚCCHĀ
A Lecture on the Vedánta	473	1	A Lecture on the Vedánta
Sāvitryupākhyāna	471	2	SĀVITRYUPĀKHYĀNA; Sāvitryupākhyāna
Ratnāvalī	464	5	Ratnāvalī; RATNĀVALĪ
Sukhāvatīvyūha	464	1	Sukhāvatīvyūha
VIDYĀNĀTHA'S PRATĀPARUDRĪYAM ALAM̃KĀRAŚĀSTRAM	448	3	VIDYĀNĀTHA'S PRATĀPARUDRĪYAM ALAM̃KĀRAŚĀSTRAM
PRAVARĀDHYĀYA	443	1	PRAVARĀDHYĀYA
Pali Text Societyʼs Pali-English Dictionary	429	1	Pali Text Societyʼs Pali-English Dictionary
Suvarṇabhāsottamasūtra	429	1	Suvarṇabhāsottamasūtra
Weber	427	3	WEBER; Weber
Materia medica of the Hindus compiled from Sankr	427	1	Materia medica of the Hindus compiled from Sankr
HIḌIMBAVADHA in BOPP'S Ardschuna's Reise zu Indra's Himmel	425	1	HIḌIMBAVADHA in BOPP'S Ardschuna's Reise zu Indra's Himmel
Sādhanamālā	420	1	Sādhanamālā
G7AYADEVA'S PRASANNARĀGHAVA	417	1	G7AYADEVA'S PRASANNARĀGHAVA
LASSEN'S Anthologie	417	3	LASSEN'S Anthologie
Böhtlingk	415	1	Böhtlingk
ŚIVANĀMASAHASRA	415	2	ŚIVANĀMASAHASRA
DAŚARATHA'S Tod in BÖHTLINGK'S Chrestomathie	408	1	DAŚARATHA'S Tod in BÖHTLINGK'S Chrestomathie
Yājnyavalkyasmṛiti	407	1	Yājnyavalkyasmṛiti
Śatasāhasrikā-prajñāpāramitā	401	1	Śatasāhasrikā-prajñāpāramitā
RGYA TCH'ER ROL PA	399	3	RGYA TCH'ER ROL PA
Detailed Report of a Tour in search of Sanskrit Mss	397	1	Detailed Report of a Tour in search of Sanskrit Mss
LĀṬYĀYANA'S ŚRAUTASŪTRA	388	1	LĀṬYĀYANA'S ŚRAUTASŪTRA
Dharmasaṃgraha	382	1	Dharmasaṃgraha
Bhartṛihaṛiśataka [	381	1	Bhartṛihaṛiśataka [
ṢAḌVIṂŚABRĀHMAṆA	378	3	ṢAḌVIṂŚABRĀHMAṆA
GOBHILA'S GṚYASŪTRA	369	1	GOBHILA'S GṚYASŪTRA
Muṇḍakopaniṣad	361	5	MUṆḌAKOPANIṢAD; Muṇḍakopaniṣad
TAITTIRĪYOPANIṢAD	359	3	TAITTIRĪYOPANIṢAD
Mitākṣarā	355	5	MITĀKṢARĀ; Mitākṣarā
Śrutabodha	355	8	ŚRUTABODHA; Śrutabodha
MAHĪDHARA	355	3	MAHĪDHARA
Gaspare Gorresio	353	2	Gaspare Gorresio
Jātakamālā	349	1	Jātakamālā
MUIR	345	1	MUIR
Algebra	340	3	Algebra
Sundopasundopākhyāna	339	2	SUNDOPASUNDOPĀKHYĀNA; Sundopasundopākhyāna
INDRALOKĀGAMANA in BOPP'S Ardschuna's Reise zu Indra's Him- mel u	337	1	INDRALOKĀGAMANA in BOPP'S Ardschuna's Reise zu Indra's Him- mel u
MADHUSŪDANASARASVATĪ'S PRASTHĀNABHEDA in den Indischen Studien	335	1	MADHUSŪDANASARASVATĪ'S PRASTHĀNABHEDA in den Indischen Studien
BAUDHĀYANA	334	4	BAUDHĀYANA
VĀLAKHILYA	331	1	VĀLAKHILYA
[Cologne addition]	330	2	[Cologne addition]
KAUṢĪTAKYUPANIṢAD	329	3	KAUṢĪTAKYUPANIṢAD
VIŚVĀMITRA'S Kampf in BÖHTLINGK'S Chrestomathie	327	1	VIŚVĀMITRA'S Kampf in BÖHTLINGK'S Chrestomathie
Aṣṭasāhasrikā-prajñāpāramitā	318	1	Aṣṭasāhasrikā-prajñāpāramitā
Kāśyapa Parivarta	318	1	Kāśyapa Parivarta
KAUTŚIKA'S SŪTRA zum AV	316	1	KAUTŚIKA'S SŪTRA zum AV
SAṂSKĀRAKAUSTUBHA von ANANTADEVA	314	3	SAṂSKĀRAKAUSTUBHA von ANANTADEVA
Kusumanagara	313	3	Kusumanagara
AGNIPURĀṆA	311	4	AGNIPURĀṆA
Nirukta	300	3	Nirukta; NIRUKTA
Bhāminīivilāsa	299	1	Bhāminīivilāsa
Udbhaṭa	298	3	Udbhaṭa; Udbhata
BÖHTLINGK'S Sanskrit-Chresthomathie	294	1	BÖHTLINGK'S Sanskrit-Chresthomathie
KIRĀTĀRG7UNIYA	294	1	KIRĀTĀRG7UNIYA
Mahābhāṣya	293	2	Mahābhāṣya
A Lecture on the Sánkhya Philosophy	291	1	A Lecture on the Sánkhya Philosophy
VAIJAYANTĪ	283	3	VAIJAYANTĪ
UṆĀDIKOṢA	277	1	UṆĀDIKOṢA
KĀŚĪKHAṆḌA	277	3	KĀŚĪKHAṆḌA
Histoire de la vie de HIOUEN-THSANG et de ses voya- ges dans l'Inde	274	3	Histoire de la vie de HIOUEN-THSANG et de ses voya- ges dans l'Inde
CHEZY'S Ausgabe des ŚĀKUNTALA	272	3	CHEZY'S Ausgabe des ŚĀKUNTALA
Praśnopaniṣad	269	2	PRAŚNOPANIṢAD; Praśnopaniṣad
Vinayapiṭaka	264	1	Vinayapiṭaka
YOGASŪTRA	263	4	YOGASŪTRA
Beiträge zur indischen Lexicographie von THEODOR ZACHARIAE	260	1	Beiträge zur indischen Lexicographie von THEODOR ZACHARIAE
Zeitschrift für die Kunde des Morgenlandes	260	2	Zeitschrift für die Kunde des Morgenlandes
VĀYUPURĀṆA	259	4	VĀYUPURĀṆA
Andersen and Smith	256	1	Andersen and Smith
Mudrārākshasa	256	2	MUDRĀRĀKSHASA; Mudrārākshasa
ŚIHLANA'S ŚĀNTIŚATAKA in HAEBERLIN'S Anthology	253	1	ŚIHLANA'S ŚĀNTIŚATAKA in HAEBERLIN'S Anthology
MACK	247	1	MACK
KAPILA'S SĀM5KHYAPRVAK4ANA	245	1	KAPILA'S SĀM5KHYAPRVAK4ANA
MĀNAVAGṚHYASŪTRA	245	1	MĀNAVAGṚHYASŪTRA
