dict	raw_key	count
ap	L. D. B.	393
ap	Subhāṣ.	268
ap	Nm.	221
ap	Kau. A. 2. 11	80
ap	Buddh.	77
ap	Gīrvāṇa.	56
ap	Ait. Br.	49
ap	Kāty.	36
ap	7	33
ap	Vārt.	33
ap	Hc.	33
ap	Enm.	30
ap	Nigh.	28
ap	6	24
ap	17	23
ap	4	23
ap	5	23
ap	25	23
ap	18	22
ap	MW.	22
ap	3	21
ap	12	21
ap	2	21
ap	36	21
ap	Kau. A.	21
ap	62	21
ap	Kau. A. 2. 11. 29	21
ap	10	20
ap	Śaṅkara.	20
ap	43	20
ap	Brav. P.	20
ap	46	19
ap	48	19
ap	19	19
ap	Jag.	18
ap	67	18
ap	Caraka.	18
ap	App.	18
ap	Kau. A. 1. 12	17
ap	58	17
ap90	Subhāṣ.	187
ap90	Ait. Br.	37
ap90	Kāty.	27
ap90	Nārada.	21
ap90	7	19
ap90	3	18
ap90	67	16
ap90	25	16
ap90	46	15
ap90	52	14
ap90	36	14
ap90	5	14
ap90	7.	14
ap90	Bṛ. Ār. Up.	13
ap90	Śaṅkara	13
ap90	6	13
ap90	12	13
ap90	4	13
ap90	58	13
ap90	62	13
ap90	84	12
ap90	10	12
ap90	43	12
ap90	70	12
ap90	37	12
ap90	47	11
ap90	5.	11
ap90	11	11
ap90	31	11
ap90	61.	11
ap90	41	11
ap90	54	11
ap90	59.	11
ap90	18	11
ap90	13	11
ap90	27	11
ap90	Jag.	11
ap90	69	11
ap90	9.	10
ap90	81	10
ben	Berl. Monatsb.	56
ben	Journ. of the German Oriental 	20
ben	Brahmav.	8
ben	Viṣṇu P.	7
ben	Bhāg.	6
ben	Berol.	6
ben	Kāśīkh.	5
ben	Skandap., Kāśīkh.	4
ben	VP.	4
ben	Somad. Nal.	3
ben	Daśarūp.	3
ben	Pāraskara Gṛ. S.	3
ben	Chānd. Up.	2
ben	Monatsb. d. Berl. Ak. d. Wiss.	2
ben	Mān.	2
ben	Śrutab.	2
ben	Haeb. Anth.	2
ben	Sūryas.	2
ben	Rāmatap. Up.	2
ben	Bṛhaspati	2
ben	Hind. Th.	2
ben	Stenzler	2
ben	Spec. of the Theatre of the Hi	2
ben	Hemac.	2
ben	Kos.	2
ben	M.	1
ben	Śukasapt.	1
ben	Bṛh. Ār. Up.	1
ben	Fausböll, Dhammap.	1
ben	Ait. Br.	1
ben	Ghaṭak.	1
ben	Monatsber. der Berliner Ak. Hi	1
ben	Uttararāmac.	1
ben	Jaṭādh.	1
ben	Monatsber. Berl. Ak. Hist. Phi	1
ben	Monatsb. d. Berl. Ak. Hist. Ph	1
ben	Monatsb. Berl. Ak. Hist. Phil.	1
ben	Vetālapañcav.	1
ben	Kūmar.	1
ben	Hindu Dr.	1
bhs	Senart	1562
bhs	Mmk	981
bhs	Mironov	434
bhs	pw	372
bhs	Karmav	324
bhs	Lefm.	310
bhs	WT	170
bhs	Kashgar rec.	167
bhs	Foucaux	134
bhs	Burnouf	131
bhs	Dbh.g.	128
bhs	Schmidt, Nachträge	117
bhs	Kern	115
bhs	Lévi	105
bhs	Suzuki	90
bhs	KN	89
bhs	Speyer	87
bhs	Bendall and Rouse	79
bhs	Senartʼs note	68
bhs	Vism.	52
bhs	Pischel	50
bhs	Weller	45
bhs	LVa	40
bhs	Nobel	39
bhs	Dh.	38
bhs	Transl.	35
bhs	Geiger	35
bhs	Léviʼs note	34
bhs	LVb	34
bhs	Bendall	30
bhs	Finot	30
bhs	Wogihara, Lex.	28
bhs	Miln.	26
bhs	Lévi, Sūtrāl.	23
bhs	LaV-P.	23
bhs	Suzuki, Studies	22
bhs	Feer	20
bhs	Wogihara	18
bhs	Hoernle MR	18
bhs	Buddhacarita	17
lrv	Cāṇakya.	23
lrv	Śankara.	8
lrv	Kāśikā.	7
lrv	Sank.K.	7
lrv	Bṛhaspati.	5
lrv	Chandrāloka.	5
lrv	Mahimastotra.	4
lrv	Suśruta.	4
lrv	Śikshā.	4
lrv	Govardhana	4
lrv	Silhaṇa.	3
lrv	D.B.	3
lrv	Suśruta	3
lrv	Āpastamba.	2
lrv	Daksha.	2
lrv	Rv.	2
lrv	Pr.Bh.	2
lrv	Vasiṣṭha.	2
lrv	D.Bh.	2
lrv	Parāśara	2
lrv	Śrīharsha.	2
lrv	Uśanas.	2
lrv	Murāri.	2
lrv	Vidagdhamukhamaṇḍana.	2
lrv	Māgha	2
lrv	Medhātithi	2
lrv	Līlāvatī	2
lrv	Uśanas	2
lrv	Kātyāyana	2
lrv	Nāgojībhaṭṭa.	2
lrv	Patanjali	2
lrv	Pakshadhara.	1
lrv	Gautama.	1
lrv	Mammata.	1
lrv	Sar.S.	1
lrv	Vis.P.	1
lrv	Kumārila.	1
lrv	Śabara.	1
lrv	Mādhavanidāna.	1
lrv	Halāyudha.	1
md	XX, 14-16	1
md	TB. (II, vi, 6, 3)	1
md	Kirātārjunīya XV, 52	1
md	Bṛhaddevatā	1
md	Kirātārjunīya XV, 16	1
md	Kirātārjunīya XV, 25	1
md	Śisupāla-vadha XIX, 40	1
md	Kathāsaritsāgara 70, 59	1
md	Vāsav., 🞄Bibl. Ind., 296, 4	1
md	Manu VIII, 325	1
md	Meghadūta 90	1
mw	MBh.	22990
mw	R.	9049
mw	W.	8285
mw	BhP.	6979
mw	Kathās.	5926
mw	MW.	5710
mw	Suśr.	5690
mw	ŚBr.	5493
mw	Hariv.	5229
mw	AV.	4971
mw	Kāv.	4662
mw	VarBṛS.	2958
mw	Rājat.	2837
mw	TS.	2663
mw	Pañcat.	2423
mw	VS.	2300
mw	KātyŚr.	2291
mw	VP.	1980
