dict,parvan,verse,form,edition,L,headword_slp1
PWG,1,2523,full,,7,aMSa
PWG,1,197,full,,41,aMsay
PWG,3,11728,full,,41,aMsay
PWG,12,10374,full,,194,akzamAlin
PWG,3,8805,full,,321,agastya
PWG,12,5389,full,,321,agastya
PWG,18,157,full,,327,agADa
PWG,12,3410,full,,387,agnitretA
PWG,13,531,full,,472,agnizwut
PWG,13,539,cont,,472,agnizwut
PWG,3,4078,full,,490,agnihotra
PWG,12,10375,full,,613,aGoraGorarUpa
PWG,3,14853,full,,636,aNkay
PWG,1,4220,full,,669,aNga
PWG,1,4217,full,,669,aNga
PWG,12,981,full,,669,aNga
PWG,12,981,full,,712,aNgAra
PWG,1,5331,full,,713,aNgAraka
PWG,1,6448,full,,720,aNgAraparRa
PWG,3,14224,full,,739,aNgira
PWG,1,7703,full,,791,ac
PWG,1,7770,full,,858,acyuta
PWG,8,2062,full,,868,acyutasTala
PWG,12,586,full,,955,ajAtaSatru
PWG,12,603,full,,955,ajAtaSatru
PWG,12,698,cont,,955,ajAtaSatru
PWG,2,2592,full,,1052,aYj
PWG,2,2122,full,,1052,aYj
PWG,3,15964,full,,1052,aYj
PWG,1,1031,full,,1087,aw
PWG,1,3071,cont,,1087,aw
PWG,3,1568,full,,1087,aw
PWG,3,1908,full,,1087,aw
PWG,3,13096,cont,,1087,aw
PWG,3,8471,full,,1087,aw
PWG,3,13707,full,,1122,awwAlaka
PWG,3,12199,cont,,1122,awwAlaka
PWG,1,2422,full,,1147,aRImARqavya
PWG,1,4329,cont,,1147,aRImARqavya
PWG,2,107,full,,1147,aRImARqavya
PWG,12,10358,full,,1169,aRqa
PWG,12,10358,full,,1178,aRqaDara
PWG,1,5909,full,,1211,atas
PWG,1,6196,full,,1211,atas
PWG,1,4173,full,,1215,ati
PWG,2,434,full,,1215,ati
PWG,7,2235,full,,1215,ati
PWG,3,10731,full,,1215,ati
PWG,12,2211,full,,1239,atiga
PWG,12,921,full,,1282,atiTi
PWG,12,917,full,,1289,atiTin
PWG,12,921,cont,,1289,atiTin
PWG,1,5924,full,,1303,atidUra
PWG,12,2213,full,,1347,atibala
PWG,1,3795,full,,1385,atiyaSa
PWG,3,10734,full,,1517,atIva
PWG,3,12678,full,,1615,atri
PWG,3,14215,full,,1641,aTarvan
PWG,2,450,full,,1644,aTarvaveda
PWG,5,548,full,,1644,aTarvaveda
PWG,1,2882,full,,1646,aTarvaSiras
PWG,5,548,full,,1648,aTarvANgiras
PWG,5,550,cont,,1648,aTarvANgiras
PWG,12,13259,full,,1650,aTarvARa
PWG,12,13258,cont,,1650,aTarvARa
PWG,3,15797,full,,1713,adAsa
PWG,1,6757,full,,1740,adfSyant
PWG,3,13517,full,,1802,adri
PWG,1,3451,full,,1889,aDarottara
PWG,1,7144,full,,1917,aDika
PWG,1,7166,full,,1936,aDikAra
PWG,5,4759,full,,2005,aDiraTa
PWG,6,332,full,,2061,aDfzya
PWG,3,121,full,,2097,aDyayana
PWG,1,102,full,,2111,aDyarDaSata
PWG,2,2332,full,,2157,aDyUQa
PWG,1,1587,full,,2262,ananta
PWG,1,3793,full,,2447,anaSvan
PWG,7,2384,full,,2696,anu
PWG,1,2294,full,,2734,anukrama
PWG,1,103,full,,2736,anukramaRikA
PWG,3,4030,full,,2762,anugrAhya
PWG,1,7760,full,,2876,anupraveSa
PWG,1,7772,cont,,2876,anupraveSa
PWG,3,15596,full,,2935,anuyAtra
PWG,1,3762,full,,2986,anuvaMSa
PWG,1,3780,cont,,2986,anuvaMSa
PWG,1,3783,cont,,2986,anuvaMSa
PWG,1,3797,cont,,2986,anuvaMSa
PWG,3,8312,full,,2986,anuvaMSa
PWG,3,8330,full,,2987,anuvaMSya
PWG,12,16113,full,,3003,anuvAka
PWG,12,1614,cont,,3003,anuvAka
PWG,2,114,full,,3022,anuvinda
PWG,1,7772,full,,3033,anuveSa
PWG,1,2526,full,,3129,anuhlAda
PWG,1,768,full,,3309,antareRa
PWG,16,140,full,,3454,anDaka
PWG,12,10356,full,,3455,anDakaGAtin
PWG,12,10382,full,,3497,annada
PWG,12,10382,full,,3500,annapati
PWG,12,10382,full,,3506,annaBuj
PWG,1,7081,full,,3523,anya
PWG,1,8518,full,,3551,anyatra
PWG,3,9942,full,,3551,anyatra
PWG,3,10007,cont,,3551,anyatra
PWG,1,3239,full,,3551,anyatra
PWG,4,39,full,,3608,anyonya
PWG,1,7742,full,,3608,anyonya
PWG,1,7885,full,,3874,aparAnta
PWG,2,578,full,,3914,aparyanta
PWG,12,1737,full,,3986,apasada
PWG,12,13695,full,,4084,apAntaratamas
PWG,12,13704,cont,,4084,apAntaratamas
PWG,1,1341,full,,4109,apAvfta
PWG,3,4052,full,,4111,apAvftta
PWG,1,2517,full,,4232,apyaya
PWG,5,2569,full,,4232,apyaya
PWG,12,747,full,,4232,apyaya
PWG,12,1822,cont,,4232,apyaya
PWG,12,1845,cont,,4232,apyaya
PWG,12,10355,cont,,4232,apyaya
PWG,1,4491,full,,4247,apraja
PWG,12,10360,full,,4275,apratirUpa
PWG,1,3055,full,,4343,apsaras
PWG,12,3657,full,,4343,apsaras
PWG,12,11263,full,,4400,abudDa
PWG,12,11317,cont,,4400,abudDa
PWG,12,11326,cont,,4400,abudDa
PWG,12,11299,cont,,4400,abudDa
PWG,12,228,full,,4471,aBi
PWG,3,1735,full,,4475,aBikANkzin
PWG,1,7807,full,,4477,aBikAma
PWG,2,994,full,,4523,aBijaya
PWG,3,1835,full,,4702,aBivadana
PWG,1,7565,full,,4704,aBivandana
PWG,1,1835,full,,4714,aBivAdana
PWG,3,6025,full,,4768,aBizeka
PWG,2,1027,full,,4818,aBisArI
PWG,2,1193,full,,5065,amara
PWG,1,4644,full,,5130,amAvAsI
PWG,12,6194,full,,5196,amUrtarajas
PWG,1,3794,full,,5200,amfta
PWG,1,1094,full,,5200,amfta
PWG,3,16990,full,,5265,amoGa
PWG,13,6252,full,,5286,ambarIza
PWG,12,993,full,,5286,ambarIza
PWG,12,8597,cont,,5286,ambarIza
PWG,2,1189,full,,5291,ambazWa
PWG,7,3399,full,,5291,ambazWa
PWG,1,4137,full,,5298,ambAlikA
PWG,1,4137,full,,5300,ambikA
PWG,3,6026,full,,5329,ambumant
PWG,1,6424,full,,5482,ayi
PWG,1,3773,full,,5499,ayutanAyin
PWG,12,12072,full,,5529,ayomuKa
PWG,1,6978,full,,5535,ar
PWG,1,3022,full,,5563,araRya
PWG,3,7078,full,,5610,arantuka
PWG,12,2497,full,,5635,arAjaka
PWG,1,3771,full,,5700,ariha
PWG,1,716,full,,5770,arka
PWG,1,715,full,,5779,arkapatra
PWG,3,16696,full,,5813,arGa
PWG,1,6453,full,,5818,arc
PWG,2,1379,full,,5818,arc
PWG,3,169,full,,5818,arc
PWG,3,988,full,,5818,arc
PWG,3,8018,full,,5818,arc
PWG,2,1383,full,,5818,arc
PWG,1,6533,full,,5818,arc
PWG,2,517,full,,5818,arc
PWG,2,1408,cont,,5818,arc
PWG,3,2762,full,,5818,arc
PWG,1,3203,full,,5818,arc
PWG,3,169,full,,5818,arc
PWG,2,1390,full,,5818,arc
PWG,3,5045,full,,5818,arc
PWG,3,8169,cont,,5818,arc
PWG,2,517,full,,5818,arc
PWG,3,941,full,,5818,arc
PWG,1,7211,full,,5818,arc
PWG,3,10190,full,,5818,arc
PWG,3,11090,cont,,5818,arc
PWG,3,10190,full,,5826,arcana
PWG,3,11090,cont,,5826,arcana
PWG,1,3203,full,,5841,arcya
PWG,4,1059,full,,5842,arC
PWG,3,11716,full,,5842,arC
PWG,3,16375,cont,,5842,arC
PWG,4,1056,full,,5842,arC
PWG,3,2166,full,,5842,arC
PWG,3,84,cont,,5842,arC
PWG,4,907,full,,5842,arC
PWG,1,3161,full,,5842,arC
PWG,3,1159,full,,5842,arC
PWG,3,11875,full,,5842,arC
PWG,3,11726,full,,5842,arC
PWG,3,17226,full,,5842,arC
PWG,1,8134,full,,5844,arj
PWG,2,1222,full,,5844,arj
PWG,1,3814,full,,5852,arjuna
PWG,4,1375,full,,5852,arjuna
PWG,12,1750,full,,5852,arjuna
PWG,3,12681,full,,5903,arTay
PWG,3,16990,full,,5903,arTay
