adhyaya_ordinal,parvan,adhyaya,offset,n_anchors
0,7,1,-2,3
1,7,2,-2,3
2,7,3,-2,2
3,7,4,-1,4
4,7,5,1,2
5,7,6,0,2
6,7,7,1,7
7,7,8,-2,2
8,7,9,3,3
9,7,10,2,2
10,7,11,2,9
11,7,12,3,3
12,7,13,-2,8
13,7,14,4,2
14,7,15,4,3
15,7,16,4,5
16,7,17,4,3
17,7,18,-2,3
18,7,19,4,2
19,7,20,5,8
20,7,21,4,5
21,7,22,4,4
22,7,23,-2,9
23,7,24,-2,2
24,7,25,0,2
25,7,26,-2,2
26,7,27,-2,7
27,7,28,-2,2
28,7,29,-2,4
29,7,30,-2,2
30,7,31,-7,3
31,7,32,-7,5
32,7,33,-6,7
33,7,34,-6,4
34,7,35,-6,2
35,7,36,-5,7
36,7,37,-2,5
37,7,38,-5,3
38,7,39,-2,2
39,7,40,-2,0
40,7,41,-2,2
41,7,42,-4,1
42,7,43,-2,0
43,7,44,-2,4
44,7,45,-2,2
45,7,46,-2,2
46,7,47,-2,2
47,7,48,-3,4
48,7,49,-2,4
49,7,50,-2,2
50,7,51,-1,5
51,7,52,0,2
52,7,53,0,2
53,7,54,1,5
54,7,55,4,7
55,7,56,4,2
56,7,57,1,4
57,7,58,5,1
58,7,59,5,6
59,7,60,5,2
60,7,61,3,2
61,7,62,2,5
62,7,63,1,4
63,7,64,2,7
64,7,65,3,1
65,7,66,1,2
66,7,67,4,2
67,7,68,4,7
68,7,69,4,6
69,7,70,2,5
70,7,71,1,1
71,7,72,2,12
72,7,73,5,2
73,7,74,-2,1
74,7,75,-2,2
75,7,76,1,2
76,7,77,1,2
77,7,78,-3,8
78,7,79,-3,8
79,7,80,-2,15
80,7,81,-1,3
81,7,82,-1,13
82,7,83,0,5
83,7,84,1,4
84,7,85,1,8
85,7,86,1,2
86,7,87,1,5
87,7,88,1,2
88,7,89,1,2
89,7,90,2,4
90,7,91,1,3
91,7,92,1,2
92,7,93,3,6
93,7,94,5,6
94,7,95,5,3
95,7,96,10,2
96,7,97,1,3
97,7,98,1,12
98,7,99,10,3
99,7,100,1,10
100,7,101,7,5
101,7,102,1,0
102,7,103,7,5
103,7,104,6,1
104,7,105,1,4
105,7,106,1,2
106,7,107,4,2
107,7,108,9,5
108,7,109,9,4
109,7,110,1,5
110,7,111,11,6
111,7,112,13,7
112,7,113,12,6
113,7,114,14,9
114,7,115,11,3
115,7,116,12,2
116,7,117,1,4
117,7,118,12,1
118,7,119,1,6
119,7,120,1,2
120,7,121,14,3
121,7,122,11,3
122,7,123,1,0
123,7,124,1,2
124,7,125,1,0
125,7,126,9,3
126,7,127,10,7
127,7,128,1,3
128,7,129,1,0
129,7,130,10,8
130,7,131,8,4
131,7,132,1,2
132,7,133,7,1
133,7,134,7,1
134,7,135,7,3
135,7,136,1,1
136,7,137,1,4
137,7,138,1,2
138,7,139,3,3
139,7,140,1,1
140,7,141,3,4
141,7,142,1,2
142,7,143,5,3
143,7,144,5,9
144,7,145,6,2
145,7,146,1,21
146,7,147,7,3
147,7,148,1,3
148,7,149,1,2
149,7,150,-10,3
150,7,151,1,2
151,7,152,1,2
152,7,153,1,13
153,7,154,-20,1
154,7,155,1,2
155,7,156,-18,10
156,7,157,-16,6
157,7,158,-16,9
158,7,159,1,5
159,7,160,-15,3
160,7,161,1,0
161,7,162,-13,1
162,7,163,1,4
163,7,164,1,0
164,7,165,1,1
165,7,166,-11,2
166,7,167,1,0
167,7,168,1,3
168,7,169,1,7
169,7,170,-10,3
170,7,171,-9,2
171,7,172,1,2
172,7,173,-8,1
173,7,174,1,7
174,7,175,-7,3
175,7,176,-7,3
176,7,177,1,0
177,7,178,-6,1
178,7,179,-6,3
179,7,180,-7,3
180,7,181,-6,8
181,7,182,-4,1
182,7,183,1,2
183,7,184,1,6
184,7,185,-2,1
185,7,186,-1,5
186,7,187,1,2
187,7,188,1,4
188,7,189,1,2
189,7,190,2,3
190,7,191,3,2
191,7,192,4,4
192,7,193,4,3
193,7,194,4,0
194,7,195,5,7
195,7,196,5,3
196,7,197,5,2
197,7,198,5,12
198,7,199,6,8
199,7,200,8,3
200,7,201,10,14
201,7,202,8,23
