dict,parvan,parvan_name,n_citations,min_verse,median_verse,max_verse
MW,1,Ādi,755,1,3124,8665
MW,2,Sabhā,312,4,853,2693
MW,3,Vana/Āraṇyaka,796,3,10088,17398
MW,4,Virāṭa,177,1,534,2364
MW,5,Udyoga,306,17,2644,7834
MW,6,Bhīṣma,185,9,405,5820
MW,7,Droṇa,194,10,4199,9570
MW,8,Karṇa,127,39,2045,5954
MW,9,Śalya,149,34,2577,3470
MW,10,Sauptika,14,1,274,712
MW,11,Strī,13,23,445,2165
MW,12,Śānti,551,1,6020,16254
MW,13,Anuśāsana,566,5,2616,13965
MW,14,Āśvamedhika,128,8,1136,5069
MW,15,Āśramavāsika,30,6,645,1031
MW,16,Mausala,9,4,119,160
MW,17,Mahāprasthānika,2,25,46,67
MW,18,Svargārohaṇa,6,44,89,303
PWG,1,Ādi,11831,1,4015,17035
PWG,2,Sabhā,3724,1,1146,17286
PWG,3,Vana/Āraṇyaka,15093,1,9990,17474
PWG,4,Virāṭa,3260,1,830,14668
PWG,5,Udyoga,5272,1,3827,15533
PWG,6,Bhīṣma,2523,1,2253,16942
PWG,7,Droṇa,3590,1,3244,14246
PWG,8,Karṇa,1585,2,2069,8613
PWG,9,Śalya,1347,2,2558,12049
PWG,10,Sauptika,278,1,344,7329
PWG,11,Strī,248,3,313,11021
PWG,12,Śānti,5823,1,6326,16620
PWG,13,Anuśāsana,7831,1,3094,73001
PWG,14,Āśvamedhika,2608,1,1253,16950
PWG,15,Āśramavāsika,655,4,516,12608
PWG,16,Mausala,260,1,120,3853
PWG,17,Mahāprasthānika,51,1,66,106
PWG,18,Svargārohaṇa,124,1,112,311
