lemma,shared_ref,source_dict,inheritor,corpus_lemmas_with_ref
ABarita,HARIV. 855,PWG,MW,1
AdAna,"HIT. IV, 94",PWG,MW,1
Buvas,HARIV. 11506,PWG,MW,1
Cedin,HARIV. 15880,PWG,MW,1
DArin,HARIV. 11986,PWG,MW,1
Dana,HARIV. 3886,PWG,MW,1
DaraRIBft,HARIV. 13616,PWG,MW,1
Dvaja,HARIV. 9245,PWG,MW,1
GAwa,HARIV. 16117,PWG,MW,1
GaRwAkarRa,HARIV. 14630,PWG,MW,1
GanIBUta,HARIV. 3484,PWG,MW,1
GarmAnta,HARIV. 10130,PWG,MW,1
GrARatarpaRa,HARIV. 3710,PWG,MW,1
Jilli,HARIV. 3497,PWG,MW,1
KawvANga,HARIV. 808,PWG,MW,1
KawvANgavana,HARIV. 4171,PWG,MW,1
Koraka,HARIV. 10559,PWG,MW,1
aSruta,HARIV. 6190,PWG,MW,1
ahInagu,HARIV. 825,PWG,MW,1
amfta,HARIV. 14095,PWG,MW,1
avaDAraRIya,HARIV. 6252,PWG,MW,1
avanAmin,HARIV. 4947,PWG,MW,1
azwAraTa,HARIV. 1744,PWG,MW,1
cAkrika,HARIV. 9047,PWG,MW,1
cAkzuza,HARIV. 279,PWG,MW,1
cAritra,HARIV. 10204,PWG,MW,1
cAturakza,HARIV. 6746,PWG,MW,1
cAturhotra,HARIV. 3772,PWG,MW,1
cAturvidya,HARIV. 9769,PWG,MW,1
cOra,HARIV. 9981,PWG,MW,1
cOra,HARIV. 9994,PWG,MW,1
cakra,HARIV. 652,PWG,MW,1
cakraDara,HARIV. 10999,PWG,MW,1
cakracArin,HARIV. 3494,PWG,MW,1
cal,HARIV. 2697,PWG,MW,1
caraRa,"PAÑCAT. IV, 3",PWG,MW,1
caturmuKa,HARIV. 10630,PWG,MW,1
caturmuKa,HARIV. 12344,PWG,MW,1
ced,HARIV. 11895,PWG,MW,1
cezwa,HARIV. 5939,PWG,MW,1
cikIrzA,HARIV. 4907,PWG,MW,1
cint,HARIV. 14675,PWG,MW,1
cira,HARIV. 9942,PWG,MW,1
citi,HARIV. 12360,PWG,MW,1
citi,HARIV. 2227,PWG,MW,1
citra,HARIV. 9062,PWG,MW,1
citrapawa,HARIV. 16001,PWG,MW,1
citraraTa,HARIV. 1971,PWG,MW,1
citrasena,HARIV. 9280,PWG,MW,1
citrayoDin,HARIV. 6867,PWG,MW,1
cozya,HARIV. 8255,PWG,MW,1
dASArha,HARIV. 6810,PWG,MW,1
dIrGAyuzwva,HARIV. 886,PWG,MW,1
daDyuttara,HARIV. 4216,PWG,MW,1
daRqasena,HARIV. 1070,PWG,MW,1
daSasAhasrika,HARIV. 6312,PWG,MW,1
dah,HARIV. 15523,PWG,MW,1
dah,HARIV. 7040,PWG,MW,1
dakza,HARIV. 101,PWG,MW,1
dakziRApaTika,HARIV. 6144,PWG,MW,1
dakziRa,HARIV. 12390,PWG,MW,1
darSana,HARIV. 1285,PWG,MW,1
darSana,HARIV. 5460,PWG,MW,1
devasaMgItayonin,HARIV. 4347,PWG,MW,1
diS,HARIV. 16061,PWG,MW,1
diSApAla,HARIV. 273,PWG,MW,1
druh,"HIT. II, 121",PWG,MW,1
duHsADya,HARIV. 16132,PWG,MW,1
ekadeha,HARIV. 2532,PWG,MW,1
gAnDAra,HARIV. 1839,PWG,MW,1
gAnDarva,HARIV. 16291,PWG,MW,1
gAndinI,HARIV. 2082,PWG,MW,1
gORya,HARIV. 5907,PWG,MW,1
gaRqUza,HARIV. 1939,PWG,MW,1
gaya,HARIV. 870,PWG,MW,1
giripura,HARIV. 5161,PWG,MW,1
go,HARIV. 1601,PWG,MW,1
go,HARIV. 2943,PWG,MW,1
go,HARIV. 986,PWG,MW,1
goDana,HARIV. 3515,PWG,MW,1
goloka,HARIV. 3994,PWG,MW,1
gopatA,HARIV. 3302,PWG,MW,1
goyajYa,HARIV. 3851,PWG,MW,1
grAmyaDarma,HARIV. 1259,PWG,MW,1
graT,BHĀRADV,PWG,MW,1
grahaRa,HARIV. 2734,PWG,MW,1
granTakAra,VEDĀNTAS. 1,PWG,MW,1
guggula,HARIV. 6283,PWG,MW,1
guha,HARIV. 10478,PWG,MW,1
jAmadagnya,HARIV. 2313,PWG,MW,1
jAmbUnada,HARIV. 13099,PWG,MW,1
jArUTya,HARIV. 2344,PWG,MW,1
jEgIzavya,HARIV. 952,PWG,MW,1
jIvin,HARIV. 4555,PWG,MW,1
jaGanya,HARIV. 5817,PWG,MW,1
jagadyoni,HARIV. 5880,PWG,MW,1
jagannATa,HARIV. 14394,PWG,MW,1
jalADipa,HARIV. 13885,PWG,MW,1
jaladevatA,HARIV. 13140,PWG,MW,1
jalaja,HARIV. 10936,PWG,MW,1
jalatA,HARIV. 2932,PWG,MW,1
jamBa,HARIV. 13227,PWG,MW,1
janArdana,HARIV. 15397,PWG,MW,1
janacakzus,HARIV. 8050,PWG,MW,1
janaka,HARIV. 982,PWG,MW,1
janamejaya,HARIV. 1608,PWG,MW,1
janamejaya,HARIV. 1655,PWG,MW,1
janamejaya,HARIV. 1671,PWG,MW,1
janitra,HARIV. 14730,PWG,MW,1
janman,HARIV. 15718,PWG,MW,1
jayASis,HARIV. 3784,PWG,MW,1
jayaDvaja,HARIV. 1893,PWG,MW,1
jayadraTa,HARIV. 1703,PWG,MW,1
jihIrzu,HARIV. 14248,PWG,MW,1
jyAyizWa,HARIV. 7265,PWG,MW,1
jyEzWa,HARIV. 7828,PWG,MW,1
jyezWatA,HARIV. 7164,PWG,MW,1
kASyapa,HARIV. 10645,PWG,MW,1
kAYcanezuDi,HARIV. 1683,PWG,MW,1
kESava,HARIV. 15377,PWG,MW,1
karzaRIya,HARIV. 14459,PWG,MW,1
kelikila,HARIV. 3380,PWG,MW,1
kfmin,HARIV. 11327,PWG,MW,1
kovidAra,HARIV. 7169,PWG,MW,1
kuRqalin,HARIV. 4664,PWG,MW,1
kuSa,HARIV. 822,PWG,MW,1
kukura,HARIV. 2030,PWG,MW,1
kzemaka,HARIV. 1749,PWG,MW,1
nikazA,HARIV. 16038,PWG,MW,1
pAraga,HARIV. 11565,PWG,MW,1
prativyUha,HARIV. 3605,PWG,MW,1
priyasaMgamana,HARIV. 7647,PWG,MW,1
svatas,"PAÑCAT. III, 96",PWG,MW,1
tAlavana,HARIV. 3704,PWG,MW,1
tAlu,HARIV. 14273,PWG,MW,1
tAmarasa,HARIV. 5771,PWG,MW,1
