dict,L,k1,root_signal,dhatupatha_source,gana,pada,transitivity,causative,set,anit,vet,anubandhas,gloss_snippet
acc,2719,upasargamaRqanakavikalpadrumaskanDa,citation,kavikalpadruma,,,,0,0,0,0,,gr. by Maṇḍanakavi. K. 80.
acc,3534,kavikalpadruma,citation,kavikalpadruma,,,,0,0,0,0,,"dhātupāṭha, by Vopadeva. IO. 1417. 2739. W. p. 222. Oxf. 175"
acc,3535,kavikalpadrumaskanDaupasargamaRqana,citation,kavikalpadruma,,,,0,0,0,0,,gr. by Maṇḍanakavi. K. 80.
acc,10101,durgAdAsa,citation,durgadasa,,,,0,0,0,0,,father of Śivanārāyaṇa (Setusaraṇi) and Ma- thurānātha Rāya.
acc,10102,durgAdAsavidyAvAcaspati,citation,durgadasa,,,,0,0,0,0,,<HI1>Gurupādukāpañcakastotraṭīkā.
acc,10103,durgAdAsa,citation,durgadasa,,,,0,0,0,0,,son of Vāsudeva Sārvabhauma: <HI1>Subodhā Mugdhabodhaṭīkā. <
acc,30362,kavikalpadruma,citation,kavikalpadruma,,,,0,0,0,0,,{%add%} Cambr. 13. SB. 452. {%delete%} L. 789.
acc,32025,kavikalpadruma,citation,kavikalpadruma,,,,0,0,0,0,,"by Vopadeva. BL. 294. Oudh XXI, 68. Rgb. 475."
acc,33670,durgAdAsavAcaspati,citation,durgadasa,,,,0,0,0,0,,<HI1>Yogacintāmaṇiṭīkā.
acc,42454,kavikalpadruma,citation,kavikalpadruma,,,,0,0,0,0,,gr. by Vopadeva. AS p. 37 (inc.). Lz. 778. 779. <HI1>C. Kāvy
cae,13979,durgAdAsa,citation,durgadasa,,,,0,0,0,0,,<lex>m.</lex> names of men.
krm,1,aka,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(<s>I-BvAdiH</s>-792 <s>sakarmakaH-sew-parasmEpadI) GawAdiH
krm,2,aki,annotation,(annotation-only),bhvadi,atmanepada,sakarmaka,0,1,0,0,,(<s>BvAdiH</s>-I-87. <s>saka-sew-AtmanepadI .</s>) <s>lakzaR
krm,6,aGi,both,dhatupatha,bhvadi,atmanepada,sakarmaka,0,1,0,0,,(<s>BvAdiH</s>-I-109<s>-saka</s>. <s>sew-A</s>.) <s>gatyAkze
krm,7,aNka,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,1,1,0,0,,(X-1927<s>-curAdiH saka</s>. <s>sew-uBa-) adantaH .</s> <div
krm,8,aNga,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X-1928<s>-curAdiH-saka</s>. <s>sew-uBa-) adantaH .</s> <s>p
krm,9,aja,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(<s>BvAdiH</s>-I-230<s>-saka</s>. <s>sew-para-</s>) <s>kzepa
krm,10,aji,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s> 1786<s>-saka</s>. <s>sew</s>. <s>uBa</s>.)
krm,11,awa,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-295 <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,12,awwa,annotation,(annotation-only),bhvadi,atmanepada,sakarmaka,0,1,0,0,,<sup>A</sup> {@<s>atikramahiMsanayoH</s>@} (I<s>-BvAdiH</s>-
krm,13,awwa,annotation,(annotation-only),curadi,ubhayapada,akarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1561 <s>aka-sew-uBayapadI .</s>) {@<s>‘hiM
krm,14,aWi,citation,dhatupatha,bhvadi,atmanepada,sakarmaka,0,0,0,0,,"(I<s>-BvAdiH</s>-261<s>-saka</s>. <s>se-A</s>.) <div n=""P""><"
krm,20,ati,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-61<s>-saka</s>. <s>sew</s>. <s>para</s>.) <
krm,28,anDa,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1925. <s>saka</s>. <s>sew-uBa-</s>) <s>‘up
krm,35,arka,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1644. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,38,arja,annotation,(annotation-only),bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-224<s>-saka</s>. <s>sew</s>. <s>para</s>.)
krm,40,arTa,annotation,(annotation-only),curadi,atmanepada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1905<s>-saka</s>. <s>sew</s>- <s>Atmane-A<
