dict,L,k1,quote
ap,14,aMSukam,aMSukaM netravastrayoH .
ap,14,aMSukam,aMSukaM sUkzmavastre syAt pariDAnottarIyayoH . kiraRAnAM samUhe
ap,37,akaTita,anaBihitam akaTitaM karma
ap,39.002,akanizWaH,bahUni SatasahasrARi yAvadakanizWAnAM saMnipatitAnyaBUvan .
ap,138,akzaH,akzo dyUte varUTANge
ap,138.102,akzaBAraH,tattaddeSe tu CidraM syAdakzaBAre
ap,183,akzOhiRI,ekeBEkaraTA tryaSvA pattiH paYcapadAtikA . pattyaNgEstriguREH
ap,206.002,agaH,… aTa pannage . nagAH
ap,255.004,agram,… agramAlambane'Dike . puropariprAntAdyezu na puMsi pramitASane .
ap,305.002,aNgaH,aNgaM gAtrAntikopAya
ap,305.022,aNgADipaH,"˚rAjaH, ˚patiH, ˚ISvaraH, ˚aDISvaraH"
ap,313.004,aNgadaH,aNgado vAlinandane
ap,351,aNGri,dantadvandvaprahIRAdikamiBavaramapyaNGnimUlyena
ap,360.004,acalA,acalaH parvate vfkze kIlAvasuDayoH striyAm
ap,379.002,acCaH,˚Balla
ap,394.002,ajaH,ajo harO hare kAme viDO CAge raGoH sute .
ap,419,ajara,vfdDatvaM jarayA vinA
ap,441.002,ajitaH,paramAtmanyAtmani ca trizu syAdasPuwe'jitaH .
ap,445,ajihma,ajihmaH satkftAvfjO .
ap,454,ajIvaniH,aBAve BavatAM yo'smin
ap,475,aYcita,kanakAcalasaMkASadevatAyatanAYcite
ap,479.002,aYjanam,dAridryaM paramAYjanam
ap,479.002,aYjanam,anekArTasya Sabdasya vAcakatve niyantrite .
ap,511.002,awwaH,awwaM Bitticatuzke syAtkzAme'tyarTe gfhAntare .
ap,528,aRaka,mfte'pi tvayi jIvantyA
ap,569,ati,prakarze laNGane'pyati
ap,634,atiTiH,yasya na jYAyate nAma na ca gotraM na ca sTitiH . akasmAd gfhamAyAtaH
ap,641,atideSaH,atideSo nAma
ap,707.002,atimuktaH,ka idAnIM sahakAramantareRAtimuktalatAM pallavitAM
ap,770,ativyaTanam,sapatranizpatrAdativyaTane
ap,786.002,atiSvA,sevAM lAGavakAriRIM kftaDiyaH sTAne SvavfttiM
ap,814,atyayaH,aSuBe cApadi smftaH . atyayo 'tikrame kfcCre doze
