dict,format,entries,distinct_lemmas,unique_to_dict,unique_pct
ap,k1,90843,88869,30844,34.7
mw,k1,286525,194084,25075,12.9
skd,k1,42531,40817,15164,37.2
acc,k1,49833,32585,14116,43.3
bhs,k1,17839,17777,10239,57.6
mwe,k1,32378,28238,8798,31.2
lrv,k1,53441,48259,8506,17.6
sch,k1,29125,28455,8422,29.6
pw,k1,170556,151349,6652,4.4
ap90,k1,34882,34277,5419,15.8
pui,k1,17512,11730,4526,38.6
vcp,k1,50135,48636,4523,9.3
ieg,k1,7932,7568,4357,57.6
bur,k1,19776,19146,4352,22.7
bor,k1,24609,22013,3492,15.9
mw72,k1,55390,51159,2381,4.7
inm,k1,12647,9454,2144,22.7
pwg,k1,123366,106082,2028,1.9
pe,k1,8799,6623,1310,19.8
yat,k1,45206,44720,1264,2.8
stc,k1,24574,23986,1064,4.4
fri,k1,8155,7775,935,12.0
shs,k1,47326,46733,894,1.9
ae,k1,11359,11343,885,7.8
krm,k1,2061,1698,621,36.6
cae,k1,40069,38484,608,1.6
gst,k1,6780,6761,531,7.9
gra,k1,12785,11108,453,4.1
vei,k1,3834,3704,435,11.7
mci,k1,2643,2325,422,18.2
abch,kosa,1965,11584,384,3.3
md,k1,20749,20103,338,1.7
pgn,k1,485,470,258,54.9
wil,k1,44577,43938,243,0.6
acph,kosa,163,1453,206,14.2
armh,k1,7907,6673,200,3.0
ccs,k1,30010,28751,151,0.5
lan,k1,4944,4726,140,3.0
ben,k1,17310,17036,125,0.7
bop,k1,8961,8505,117,1.4
acsj,kosa,240,634,48,7.6
pwkvn,k1,24976,14995,20,0.1
snp,k1,453,448,15,3.3
nmmb,kosa,506,0,0,0.0
