prefix,n_members,total_freq,representative,members,status
bhag,3,28396,bhagp,bhagp:22174 | bhag:6146 | bhagpedbomb:76,unreviewed
kath,10,25823,kathas,kathas:22576 | kath:2409 | kathop:524 | kathup:157 | kathaslxi:33 | kathasxviii:29 | katharn:29 | kathaslxxii:23 | katharnava:22 | kathasvi:21,unreviewed
raja,13,25165,rajan,rajan:12596 | rajatar:7088 | rajat:4730 | rajatv:137 | rajativ:99 | rajav:91 | rajati:68 | rajatvii:68 | rajatviii:64 | rajanebend:64 | rajatarangini:56 | rajatiii:53 | rajatvi:51,unreviewed
panc,16,21022,pancat,pancat:7660 | panc:5192 | pancar:3079 | pancavbr:1941 | pancati:935 | pancad:555 | pancatiii:441 | pancatii:387 | pancatedorn:291 | pancatv:162 | panch:108 | pancativ:107 | pancatedbomb:66 | pancatpr:49 | panci:28 | pancatedorni:21,unreviewed
skdr,2,20154,skdr,skdr:20113 | skdrsuppl:41,unreviewed
hari,4,19961,hariv,hariv:19772 | harivlangli:122 | harita:36 | harivlanglii:31,unreviewed
susr,6,17760,susr,susr:17285 | susri:221 | susriv:78 | susrii:66 | susrvi:63 | susrv:47,unreviewed
verz,8,16749,verzdoxfh,verzdoxfh:12504 | verzdbhno:2362 | verzdbh:1354 | verzdoxfhno:219 | verzdcambrh:140 | verzdtubh:86 | verzdpethno:54 | verzdkoph:30,unreviewed
ragh,21,11717,ragh,ragh:10848 | raghedcalc:146 | raghiii:62 | raghi:56 | raghxii:52 | raghii:51 | raghv:46 | raghx:44 | raghix:41 | raghviii:40 | raghvii:38 | raghxiv:35 | raghxvi:35 | raghxi:35 | raghiv:33 | raghxiii:31 | raghvi:28 | raghxvii:25 | raghxix:24 | raghxv:24 | raghxviii:23,unreviewed
vara,7,9603,varahbrhs,varahbrhs:8396 | varahbrh:719 | varahyogay:262 | varahlaghuj:85 | varahap:66 | varah:53 | varahbrhss:22,unreviewed
katy,7,8393,katysr,katysr:8011 | katy:267 | katysrxxv:24 | katysri:24 | katyayana:23 | katysrxxii:23 | katysriv:21,unreviewed
inds,3,8184,indst,indst:8049 | indsti:99 | indstii:36,unreviewed
mark,2,7121,markp,markp:7085 | markps:36,unreviewed
yajn,5,6593,yajn,yajn:5745 | yajnii:276 | yajni:220 | yajniii:190 | yajnsch:162,unreviewed
divy,3,6322,divy,divy:3172 | divyavad:2202 | divyav:948,unreviewed
sabd,6,6113,sabdar,sabdar:3112 | sabdac:1432 | sabdam:775 | sabdarthak:705 | sabdak:51 | sabdarthakalpataru:38,unreviewed
