title	norm	dcs_siglum	tok_2021	tok_2026	in_2021	in_2026	title_2021
Mahābhārata	mahabharata	MBh	1145830	1147887	1	1	Mahābhārata
Rāmāyaṇa	ramayana	Rām	261058	261568	1	1	Rāmāyaṇa
Ṛgveda	rgveda		170845	169972	1	1	Ṛgveda
Suśrutasaṃhitā	susrutasamhita	Su	146441	146721	1	1	Suśrutasaṃhitā
Śatapathabrāhmaṇa	satapathabrahmana	ŚpBr	3718	144139	1	1	Śatapathabrāhmaṇa
Liṅgapurāṇa	lingapurana	LiPu	127403	127599	1	1	Liṅgapurāṇa
Matsyapurāṇa	matsyapurana	MaPu	122615	122842	1	1	Matsyapurāṇa
Skandapurāṇa (Revākhaṇḍa)	skandapuranarevakhanda	SkPuR	114012	113333	1	1	Skandapurāṇa Revākhaṇḍa)
Kathāsaritsāgara	kathasaritsagara		66531	111298	1	1	Kathāsaritsāgara
Aṣṭāṅgahṛdayasaṃhitā	astangahrdayasamhita	AHS	107441	107515	1	1	Aṣṭāṅgahṛdayasaṃhitā
Carakasaṃhitā	carakasamhita	Ca	94636	94852	1	1	Carakasaṃhitā
Viṣṇupurāṇa	visnupurana	ViPu	87516	87622	1	1	Viṣṇupurāṇa
Harivaṃśa	harivamsa		0	85975	0	1	
Bhāratamañjarī	bharatamanjari		85562	85655	1	1	Bhāratamañjarī
Ānandakanda	anandakanda	ĀK	83767	83818	1	1	Ānandakanda
Kūrmapurāṇa	kurmapurana	KūPu	81766	81928	1	1	Kūrmapurāṇa
Bhāgavatapurāṇa	bhagavatapurana	BhāgP	77591	77801	1	1	Bhāgavatapurāṇa
Garuḍapurāṇa	garudapurana	GarPu	75643	75739	1	1	Garuḍapurāṇa
Atharvaveda (Śaunaka)	atharvavedasaunaka		52925	71249	1	1	Atharvaveda Śaunaka)
Divyāvadāna	divyavadana		67394	67449	1	1	Divyāvadāna
Maitrāyaṇīsaṃhitā	maitrayanisamhita		5664	65375	1	1	Maitrāyaṇīsaṃhitā
Bṛhatkathāślokasaṃgraha	brhatkathaslokasamgraha	Bṛhat	62090	62202	1	1	Bṛhatkathāślokasaṃgraha
Aitareyabrāhmaṇa	aitareyabrahmana		45706	55243	1	1	Aitareyabrāhmaṇa
Jaiminīyabrāhmaṇa	jaiminiyabrahmana		2531	53735	1	1	Jaiminīyabrāhmaṇa
Rasaratnākara	rasaratnakara	RRĀ	52756	52761	1	1	Rasaratnākara
Rājanighaṇṭu	rajanighantu	RājNi	49954	49969	1	1	Rājanighaṇṭu
Taittirīyasaṃhitā	taittiriyasamhita		1941	47989	1	1	Taittirīyasaṃhitā
Aṣṭasāhasrikā	astasahasrika		43156	43457	1	1	Aṣṭasāhasrikā
Tantrāloka	tantraloka	TĀ	41254	41311	1	1	Tantrāloka
Baudhāyanaśrautasūtra	baudhayanasrautasutra		938	39205	1	1	Baudhāyanaśrautasūtra
Āyurvedadīpikā	ayurvedadipika	ĀyDī	38721	38924	1	1	Āyurvedadīpikā
