dict	letter_slp1	letter_iast	n_sampled	dash_truth_pct	splitter_pct	splitter_ci	calib_precision	calib_recall
MW	a	a/ā	23590	83.1	n/a (model unavailable)			
MW	i	i/ī	1214	63.1	n/a (model unavailable)			
MW	u	u/ū	5775	79.5	n/a (model unavailable)			
MW	f	ṛ/ṝ	545	68.8	n/a (model unavailable)			
MW	x	ḷ	5	40.0	n/a (model unavailable)			
MW	e	e	938	69.6	n/a (model unavailable)			
MW	E	ai	220	15.9	n/a (model unavailable)			
MW	o	o	176	43.2	n/a (model unavailable)			
MW	O	au	426	8.9	n/a (model unavailable)			
MW	k	k	13330	56.4	n/a (model unavailable)			
MW	K	kh	1064	46.2	n/a (model unavailable)			
MW	g	g	4966	63.4	n/a (model unavailable)			
MW	G	gh	726	51.0	n/a (model unavailable)			
MW	N	ṅ	3	33.3	n/a (model unavailable)			
MW	c	c	3535	58.1	n/a (model unavailable)			
MW	C	ch	533	46.9	n/a (model unavailable)			
MW	j	j	3308	57.9	n/a (model unavailable)			
MW	J	jh	156	19.2	n/a (model unavailable)			
MW	Y	ñ	2	50.0	n/a (model unavailable)			
MW	w	ṭ	117	28.2	n/a (model unavailable)			
MW	W	ṭh	17	41.2	n/a (model unavailable)			
MW	q	ḍ	124	17.7	n/a (model unavailable)			
MW	Q	ḍh	39	20.5	n/a (model unavailable)			
MW	R	ṇ	3	33.3	n/a (model unavailable)			
MW	t	t	5517	62.8	n/a (model unavailable)			
MW	T	th	23	30.4	n/a (model unavailable)			
MW	d	d	7939	71.9	n/a (model unavailable)			
MW	D	dh	2402	61.0	n/a (model unavailable)			
MW	n	n	8550	82.0	n/a (model unavailable)			
MW	p	p	21483	78.0	n/a (model unavailable)			
MW	P	ph	546	54.8	n/a (model unavailable)			
MW	b	b	4101	73.5	n/a (model unavailable)			
MW	B	bh	4681	67.0	n/a (model unavailable)			
MW	m	m	11374	67.5	n/a (model unavailable)			
MW	y	y	3301	67.2	n/a (model unavailable)			
MW	r	r	5452	67.3	n/a (model unavailable)			
MW	l	l	2727	56.5	n/a (model unavailable)			
MW	v	v	19141	75.5	n/a (model unavailable)			
MW	S	ś	10371	65.9	n/a (model unavailable)			
MW	z	ṣ	643	77.3	n/a (model unavailable)			
MW	s	s	25687	77.9	n/a (model unavailable)			
MW	h	h	3739	63.2	n/a (model unavailable)			
GRA	a	a/ā	1768	53.1	n/a (model unavailable)			
GRA	i	i/ī	178	28.7	n/a (model unavailable)			
GRA	u	u/ū	315	28.6	n/a (model unavailable)			
GRA	f	ṛ/ṝ	146	45.2	n/a (model unavailable)			
GRA	e	e	61	31.1	n/a (model unavailable)			
GRA	E	ai	3	0.0	n/a (model unavailable)			
GRA	o	o	33	6.1	n/a (model unavailable)			
GRA	O	au	10	0.0	n/a (model unavailable)			
GRA	k	k	486	19.5	n/a (model unavailable)			
GRA	K	kh	38	18.4	n/a (model unavailable)			
GRA	g	g	261	41.4	n/a (model unavailable)			
GRA	G	gh	60	48.3	n/a (model unavailable)			
GRA	c	c	173	29.5	n/a (model unavailable)			
GRA	C	ch	18	11.1	n/a (model unavailable)			
GRA	j	j	248	19.4	n/a (model unavailable)			
GRA	t	t	455	32.3	n/a (model unavailable)			
GRA	d	d	638	38.9	n/a (model unavailable)			
GRA	D	dh	172	25.0	n/a (model unavailable)			
GRA	n	n	389	23.9	n/a (model unavailable)			
GRA	p	p	1014	31.0	n/a (model unavailable)			
GRA	P	ph	14	0.0	n/a (model unavailable)			
GRA	b	b	154	39.6	n/a (model unavailable)			
GRA	B	bh	213	25.4	n/a (model unavailable)			
GRA	m	m	531	27.9	n/a (model unavailable)			
GRA	y	y	231	26.0	n/a (model unavailable)			
GRA	r	r	325	25.2	n/a (model unavailable)			
GRA	l	l	25	8.0	n/a (model unavailable)			
GRA	v	v	1052	32.6	n/a (model unavailable)			
GRA	S	ś	529	25.0	n/a (model unavailable)			
GRA	z	ṣ	9	55.6	n/a (model unavailable)			
GRA	s	s	1633	51.9	n/a (model unavailable)			
GRA	h	h	256	41.4	n/a (model unavailable)			
