# provenance: vendored from csl-observatory data/wil_nirukta_tokens.csv | https://github.com/sanskrit-lexicon/csl-observatory/blob/8c4b78befec82adc69db7e26b64cc50d08c5524e/data/wil_nirukta_tokens.csv | source-commit 8c4b78befec82adc69db7e26b64cc50d08c5524e | copied 2026-07-23 for H1525 (do not extend; top-16 WIL .E. tokens)
token,count,meaning
aff.,14665,affix (pratyaya)
c.,1654,class (verbal class)
neg.,1509,negative prefix
fem.,539,feminine
v.,434,verb
irr.,420,irregular
added.,394,(suffix) added
deriv.,262,derivative
last.,246,last (constituent)
augment.,241,augment
born.,229,born/derived from
affs.,222,affixes (plural)
preceding.,193,preceding (form)
form.,191,form
poss.,133,possessive
part.,128,particle
